Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
MOISES,tvui,playback,,,2021-09-12 17:42:11
MOISES,tvui,postPlay,,,2021-09-12 17:42:11
MOISES,tvui,playback,,,2021-09-12 16:59:44
MOISES,tvui,postPlay,,,2021-09-12 16:59:44
MOISES,tvui,playback,,,2021-09-12 16:59:39
MOISES,tvui,postPlay,,,2021-09-12 16:59:39
MOISES,tvui,postPlay,,,2021-09-12 16:08:25
MOISES,tvui,playback,,,2021-09-12 16:08:25
MOISES,tvui,postPlay,,,2021-09-12 16:08:20
MOISES,tvui,playback,,,2021-09-12 16:08:20
MOISES,tvui,playback,,,2021-09-12 15:25:52
MOISES,tvui,postPlay,,,2021-09-12 15:25:52
MOISES,tvui,playback,,,2021-09-12 15:25:47
MOISES,tvui,postPlay,,,2021-09-12 15:25:47
MOISES,tvui,playback,,,2021-09-12 15:02:26
MOISES,tvui,movieDetails,,,2021-09-12 15:02:26
MOISES,tvui,browseTitles,,,2021-09-12 15:02:24
MOISES,tvui,movieDetails,,,2021-09-12 15:02:24
MOISES,tvui,movieDetails,,,2021-09-12 15:00:27
MOISES,tvui,browseTitles,,,2021-09-12 15:00:27
MOISES,tvui,playback,,,2021-09-12 15:00:24
MOISES,tvui,movieDetails,,,2021-09-12 15:00:24
MOISES,tvui,postPlay,,,2021-09-12 14:26:24
MOISES,tvui,playback,,,2021-09-12 14:26:24
MOISES,tvui,playback,,,2021-09-12 14:26:18
MOISES,tvui,postPlay,,,2021-09-12 14:26:18
MOISES,tvui,playback,,,2021-09-12 14:14:50
MOISES,tvui,movieDetails,,,2021-09-12 14:14:50
MOISES,tvui,browseTitles,,,2021-09-12 14:14:46
MOISES,tvui,movieDetails,,,2021-09-12 14:14:46
MOISES,tvui,browseTitles,,,2021-09-12 14:13:47
MOISES,tvui,movieDetails,,,2021-09-12 14:13:47
MOISES,tvui,browseTitles,,,2021-09-12 14:13:43
MOISES,tvui,movieDetails,,,2021-09-12 14:13:43
MOISES,tvui,browseTitles,,,2021-09-12 14:13:41
MOISES,tvui,browseTitles,,,2021-09-12 14:13:41
MOISES,tvui,profilesGate,,,2021-09-12 14:13:04
MOISES,tvui,browseTitles,,,2021-09-12 14:13:04
MOISES,tvui,profilesGate,,,2021-09-12 14:13:02
MOISES,android,accountMenu,,,2021-09-12 05:21:29
MOISES,android,browseTitles,,,2021-09-12 05:21:29
MOISES,android,accountMenu,,,2021-09-12 05:21:28
MOISES,android,browseTitles,,,2021-09-12 05:21:27
MOISES,android,myListGallery,,,2021-09-12 05:20:39
MOISES,android,browseTitles,,,2021-09-12 05:20:39
MOISES,android,movieDetails,,,2021-09-12 05:19:59
MOISES,android,browseTitles,,,2021-09-12 05:19:59
MOISES,android,myListGallery,,,2021-09-12 05:19:55
MOISES,android,browseTitles,,,2021-09-12 05:19:54
MOISES,android,browseTitles,,,2021-09-12 05:19:42
MOISES,android,movieDetails,,,2021-09-12 05:19:42
MOISES,android,search,,,2021-09-12 05:18:54
MOISES,android,browseTitles,,,2021-09-12 05:18:54
MOISES,android,movieDetails,,,2021-09-12 05:18:48
MOISES,android,browseTitles,,,2021-09-12 05:18:48
MOISES,android,browseTitles,,,2021-09-12 05:18:43
MOISES,android,movieDetails,,,2021-09-12 05:18:43
MOISES,android,browseTitles,,,2021-09-12 05:18:23
MOISES,android,search,,,2021-09-12 05:18:23
MOISES,android,search,,,2021-09-12 05:18:02
MOISES,android,browseTitles,,,2021-09-12 05:18:02
MOISES,android,browseTitles,,,2021-09-12 05:17:27
MOISES,android,search,,,2021-09-12 05:17:27
MOISES,android,browseTitles,,,2021-09-12 05:17:26
MOISES,android,profilesGate,,,2021-09-12 05:17:25
MOISES,android,browseTitlesGallery,,,2021-09-12 05:16:39
MOISES,android,browseTitles,,,2021-09-12 05:16:39
MOISES,android,browseTitles,,,2021-09-12 05:16:30
MOISES,android,browseTitlesGallery,,,2021-09-12 05:16:30
MOISES,android,browseTitlesGallery,,,2021-09-12 05:16:17
MOISES,android,browseTitles,,,2021-09-12 05:16:17
MOISES,android,browseTitlesGallery,,,2021-09-12 05:15:51
MOISES,android,movieDetails,,,2021-09-12 05:15:51
MOISES,android,movieDetails,,,2021-09-12 05:15:32
MOISES,android,browseTitlesGallery,,,2021-09-12 05:15:30
MOISES,android,browseTitles,,,2021-09-12 05:15:23
MOISES,android,browseTitlesGallery,,,2021-09-12 05:15:23
MOISES,android,browseTitles,,,2021-09-12 05:14:50
MOISES,android,profilesGate,,,2021-09-12 05:14:49
MOISES,android,login,,,2021-09-12 05:14:41
MOISES,android,profilesGate,,,2021-09-12 05:14:41
MOISES,tvui,movieDetails,,,2021-09-11 21:28:46
MOISES,tvui,browseTitles,,,2021-09-11 21:28:46
MOISES,tvui,movieDetails,,,2021-09-11 21:28:45
MOISES,tvui,screenSaver,,,2021-09-11 21:28:45
MOISES,tvui,movieDetails,,,2021-09-11 21:28:41
MOISES,tvui,screenSaver,,,2021-09-11 21:28:41
MOISES,tvui,movieDetails,,,2021-09-11 21:23:41
MOISES,tvui,postPlay,,,2021-09-11 21:23:41
MOISES,tvui,playback,,,2021-09-11 21:22:49
MOISES,tvui,postPlay,,,2021-09-11 21:22:49
MOISES,tvui,movieDetails,,,2021-09-11 21:09:06
MOISES,tvui,playback,,,2021-09-11 21:09:06
MOISES,tvui,browseTitles,,,2021-09-11 21:09:04
MOISES,tvui,movieDetails,,,2021-09-11 21:09:04
MOISES,tvui,profilesGate,,,2021-09-11 21:09:01
MOISES,tvui,browseTitles,,,2021-09-11 21:09:01
MOISES,tvui,movieDetails,,,2021-09-11 20:55:37
MOISES,tvui,playback,,,2021-09-11 20:55:37
MOISES,tvui,movieDetails,,,2021-09-11 20:55:34
MOISES,tvui,browseTitles,,,2021-09-11 20:55:34
MOISES,tvui,profilesGate,,,2021-09-11 20:55:31
MOISES,tvui,browseTitles,,,2021-09-11 20:55:31
MOISES,tvui,profilesGate,,,2021-09-11 20:55:28
MOISES,tvui,movieDetails,,,2021-09-11 19:36:14
MOISES,tvui,playback,,,2021-09-11 19:36:14
MOISES,tvui,browseTitles,,,2021-09-11 19:36:12
MOISES,tvui,movieDetails,,,2021-09-11 19:36:12
MOISES,tvui,profilesGate,,,2021-09-11 19:34:17
MOISES,tvui,browseTitles,,,2021-09-11 19:34:17
MOISES,tvui,profilesGate,,,2021-09-11 19:34:14
MOISES,tvui,playback,,,2021-09-11 17:31:50
MOISES,tvui,movieDetails,,,2021-09-11 17:31:50
MOISES,android,movieDetails,,,2021-09-11 16:46:59
MOISES,android,notificationLanding,,,2021-09-11 16:46:58
MOISES,tvui,postPlay,,,2021-09-11 16:40:21
MOISES,tvui,playback,,,2021-09-11 16:40:21
MOISES,tvui,playback,,,2021-09-11 16:40:16
MOISES,tvui,postPlay,,,2021-09-11 16:40:16
MOISES,tvui,postPlay,,,2021-09-11 15:42:28
MOISES,tvui,playback,,,2021-09-11 15:42:28
MOISES,tvui,playback,,,2021-09-11 15:42:23
MOISES,tvui,postPlay,,,2021-09-11 15:42:23
MOISES,tvui,movieDetails,,,2021-09-11 14:56:49
MOISES,tvui,playback,,,2021-09-11 14:56:49
MOISES,tvui,browseTitles,,,2021-09-11 14:56:48
MOISES,tvui,movieDetails,,,2021-09-11 14:56:48
MOISES,tvui,movieDetails,,,2021-09-11 14:56:35
MOISES,tvui,browseTitles,,,2021-09-11 14:56:35
MOISES,tvui,postPlay,,,2021-09-11 14:56:34
