Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Rafael,BR,Smart TV,0,b,Bad Boys for Life,view_suggestion_info,suggestion_results,2020-04-17 23:16:38
Rafael,BR,iPhone,0,vis ,Vis a vis,play,video_info,2020-04-08 03:26:33
Rafael,BR,iPhone,0,vis ,Vis a vis,play,video_info,2020-04-08 03:25:53
Rafael,BR,iPhone,0,vis ,Vis a vis,view_video_info,title_results,2020-04-08 03:25:51
Rafael,BR,Smart TV,0,o ,O Poço,play,video_info,2020-04-06 18:17:43
Rafael,BR,Smart TV,0,o ,O Poço,view_video_info,title_results,2020-04-06 18:17:36
Rafael,BR,Smart TV,0,lesbic,Carol,play,video_info,2020-04-06 00:00:52
Rafael,BR,Smart TV,0,lesbic,Carol,view_video_info,suggestion_title_results,2020-04-06 00:00:50
Rafael,BR,Smart TV,0,lesbic,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-04-06 00:00:43
Rafael,BR,Smart TV,0,lesbic,Você nem imagina,view_video_info,suggestion_title_results,2020-04-06 00:00:38
Rafael,BR,Smart TV,0,lesbic,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-04-06 00:00:32
Rafael,BR,Smart TV,0,mcfarl,McFarland dos EUA,view_suggestion_info,suggestion_results,2020-04-01 18:45:07
Rafael,BR,Smart TV,0,o f,O Poço,play,video_info,2020-03-31 19:21:31
Rafael,BR,Smart TV,0,o f,O Poço,view_video_info,suggestion_title_results,2020-03-31 19:21:24
Rafael,BR,Smart TV,0,o f,Bem-vindo a Marly-Gomont,play,video_info,2020-03-31 19:20:46
Rafael,BR,Smart TV,0,o f,Bem-vindo a Marly-Gomont,view_video_info,suggestion_title_results,2020-03-31 19:20:38
Rafael,BR,Smart TV,0,o f,O Físico,view_suggestion_info,suggestion_results,2020-03-31 19:20:34
Rafael,BR,Smart TV,0,vel,Velozes e Furiosos 8,play,video_info,2020-03-29 01:01:02
Rafael,BR,Smart TV,0,vel,Velozes e Furiosos 8,view_video_info,suggestion_title_results,2020-03-29 01:01:01
Rafael,BR,Smart TV,0,vel,Velozes e Furiosos 7,view_suggestion_info,suggestion_results,2020-03-29 01:00:59
Rafael,BR,Smart TV,0,vel,,view_suggestion_info,suggestion_results,2020-03-29 01:00:42
Rafael,BR,Smart TV,0,vel,Corrida mortal,view_video_info,suggestion_title_results,2020-03-29 01:00:13
Rafael,BR,Smart TV,0,vel,,view_suggestion_info,suggestion_results,2020-03-29 01:00:07
Rafael,BR,Smart TV,0,vel,Velozes e Furiosos 7,view_suggestion_info,suggestion_results,2020-03-29 00:59:52
Rafael,BR,Smart TV,0,o i,O Irlandês,play,video_info,2020-03-28 20:52:40
Rafael,BR,Smart TV,0,o i,O Irlandês,view_video_info,title_results,2020-03-28 20:52:25
